Word,English
che,"that, which"
il,the (masculine singular)
la,the (feminine singular)
a,"to, at"
in,in
per,"for, through"
è,is
con,with
non,not
una,"a, an (feminine)"
sono,I am / they are
le,the (feminine plural)
si,oneself
ho,I have
ha,he/she/it has
al,"to the, at the"
lo,the (masc. before special consonants)
ma,but
più,more
come,"like, as"
mi,"me, myself"
ci,"us, there"
lui,he
tutto,"everything, all"
no,no
anche,"also, too"
del,of the
se,if
tu,you (informal)
sì,yes
da,"from, by"
c'è,there is
bene,well
cosa,thing
io,I
nel,in the
ti,you
gli,"the (masc. plural), to him"
questo,this
te,you
quando,when
dei,"some, of the"
abbiamo,we have
mai,never
voglio,I want
detto,said
così,"so, thus"
niente,nothing
perché,"why, because"
loro,they
dove,where
deve,he/she/it must
posso,I can
va,goes
era,was
fatto,"done, made"
questa,this (fem.)
sei,you are
su,"on, over"
ciao,"hi, bye"
uno,one
hanno,they have
siamo,we are
uomo,man
donna,woman
casa,house
tempo,"time, weather"
giorno,day
modo,way
allora,then
dopo,after
prima,before
essere,to be
avere,to have
dire,to say
andare,to go
vedere,to see
sapere,to know
volere,to want
stare,"to stay, to be"
venire,to come
dare,to give
prendere,to take
trovare,to find
parlare,to speak
pensare,to think
sentire,"to hear, to feel"
uscire,to go out
vivere,to live
lavorare,to work
mangiare,to eat
