Word,English
मैं,I
को,to (object marker)
और,and
नहीं,not
एक,"one, a/an"
था,was (masc.)
थी,was (fem.)
हैं,are
पर,"on, but"
क्या,what
गया,"went, gone"
कर,do (root)
लिए,for
भी,also
बहुत,very
होगा,will be (masc.)
अपनी,own (fem.)
आप,you (formal)
मुझे,me (object)
तुम,you (informal)
हम,we
जैसे,"like, such as"
वे,they (formal)
सभी,all
क्यों,why
फिर,"again, then"
कभी,"sometimes, ever"
होना,to be
चले,went (plural/polite)
रही,doing (fem.)
रहे,doing (pl./masc.)
देख,see (root)
बात,"matter, talk"
दिन,day
चीज़,thing
समय,time
नाम,name
कौन,who
साथ,with
चल,"move, walk (root)"
देना,to give
लेना,to take
जाना,to go
आ,come (root)
आए,came (pl./masc.)
आया,came (masc.)
आई,came (fem.)
दिया,gave (masc.)
कर रही,doing (fem.)
बाहर,outside
अंदर,inside
ऊपर,above
नीचे,below
बड़ा,big
छोटा,small
अच्छा,good
बुरा,bad
नया,new
पुराना,old
रात,night
सुबह,morning
पैसा,money
पानी,water
खाना,"food, to eat"
घर,home
स्कूल,school
काम,work
पढ़ना,to read/study
लिखना,to write
बनाना,to make
पसंद,like/prefer
चाहिए,need/should
सच,truth
झूठ,lie
खुद,self
सभी,"everyone, all"
नया,new
जल्दी,"early, soon"
कभी नहीं,never
