Word,English
है,is
मैं,I
वह,"he, she, that"
यह,this
के,of
की,of (feminine)
को,to (object marker)
और,and
में,in
नहीं,not
एक,"one, a/an"
था,was (masc.)
थी,was (fem.)
हैं,are
तो,"then, so"
पर,"on, but"
क्या,what
से,"from, by"
जा,go (root)
गया,"went, gone"
कर,do (root)
लिए,for
भी,also
बहुत,very
होगा,will be (masc.)
अपनी,own (fem.)
अपने,own (pl./masc.)
आप,you (formal)
मुझे,me (object)
तुम,you (informal)
कुछ,"some, something"
हम,we
जैसे,"like, such as"
अब,now
वे,they (formal)
सभी,all
क्यों,why
फिर,"again, then"
अगर,if
लेकिन,but
कभी,"sometimes, ever"
कोई,"someone, any"
होना,to be
चले,went (plural/polite)
रही,doing (fem.)
रहे,doing (pl./masc.)
रहा,doing (masc.)
देख,see (root)
बोल,speak (root)
बात,"matter, talk"
दिन,day
लोग,people
चीज़,thing
समय,time
नाम,name
कौन,who
जहां,where
तक,"until, up to"
साथ,with
चल,"move, walk (root)"
देना,to give
लेना,to take
जाना,to go
आ,come (root)
आए,came (pl./masc.)
आया,came (masc.)
आई,came (fem.)
दिया,gave (masc.)
कर रहा,doing (masc.)
कर रही,doing (fem.)
बाहर,outside
अंदर,inside
ऊपर,above
नीचे,below
बड़ा,big
छोटा,small
अच्छा,good
बुरा,bad
नया,new
पुराना,old
रात,night
सुबह,morning
पैसा,money
पानी,water
खाना,"food, to eat"
घर,home
स्कूल,school
काम,work
पढ़ना,to read/study
लिखना,to write
बनाना,to make
पसंद,like/prefer
चाहिए,need/should
सच,truth
झूठ,lie
खुद,self
सभी,"everyone, all"
नया,new
जल्दी,"early, soon"
कभी नहीं,never
