Word,English
der,the (masculine)
die,the (feminine/plural)
das,the (neuter)
und,and
sein,to be
in,in
ein,"a, an (masculine/neuter)"
zu,"to, too"
haben,to have
ich,I
werden,"to become, will"
sie,"she, they"
von,"from, of"
nicht,not
mit,with
es,it
sich,oneself
auch,"also, too"
auf,"on, upon"
für,for
an,"at, on"
er,he
so,"so, thus"
dass,that (conjunction)
wie,"how, like"
eine,"a, an (feminine)"
im,in the
dem,the (dative masculine/neuter)
aber,but
aus,"out of, from"
nach,"after, to"
bei,"at, near"
wir,we
was,what
wird,will (he/she/it becomes)
sein,his
noch,"still, yet"
ja,yes
mehr,more
du,you (informal singular)
kein,"no, none"
am,"at the, on the"
über,"over, about"
wenn,"if, when"
man,"one, people (impersonal)"
mir,me (dative)
meine,my (feminine/plural)
mich,me (accusative)
schon,already
durch,through
wissen,to know
weil,because
also,"so, therefore"
oder,or
habe,have (1st person)
ihre,"her, their"
würde,would
diesen,this (accusative masculine)
kann,can
ganz,"whole, very"
doch,"still, after all"
etwas,something
da,there
nur,only
mal,"time, once"
ihn,him (accusative)
sehr,very
hier,here
alle,"all, everyone"
beim,"at the, while"
muss,must
sagen,to say
unter,"under, among"
immer,always
sollen,"should, ought to"
wollen,to want
gehen,to go
sehen,to see
lassen,"to let, allow"
stehen,to stand
finden,to find
bleiben,to stay
liegen,to lie (down)
heißen,to be called
denken,to think
nehmen,to take
tun,to do
dürfen,"may, to be allowed"
glauben,to believe
halten,"to hold, to stop"
nennen,"to name, call"
mögen,to like
zeigen,to show
führen,to lead
sprechen,to speak
bringen,to bring
leben,to live
fahren,"to drive, travel"
meinen,"to mean, think"
fragen,to ask
